,,,,,,,,,,,,,w,w,w,t[2][3][8],w,w,w,w,w,w,w,w,w,t[2][3][8],w,w,w,
,,,,,,,,,,,,,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,w,t[2][3][8],w,w,w,w,w,t[2][3][8],w,w,w,w,w,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
w,0,0,0,0,0,0,0,0,0,w,w,w,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,
t[1][2][4],0,0,0,0,0,0,0,0,0,w,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,
w,0,0,0,0,0,0,0,0,0,w,,,,,,,,,,,,,,,,,,,,
t[1][2][4.5],0,0,0,0,0,0,0,0,0,w,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,0,0,0,0,0,0,0,0,0,w,,t[1][2][4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
t[1][2][5],0,0,0,0,0,0,0,0,0,w,,w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,0,0,0,0,0,w,,t[1][2][4],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,0,0,0,0,0,w,,w,0,0,0,0,0,w,w,w,w,w,w,w,w,0,0,0,0,w
t[1][2][6],0,0,0,0,0,0,0,0,0,w,w,w,0,0,0,0,0,w,,,,,,,w,0,0,0,0,w
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,w,w,w,t[2][3][6],w,w,w,0,0,e,0,w
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,w,w,w,w,w,w,w,w,w,w,t[0][3][6],w,w,w,w,w,w,w,w,t[0][3][6],w,w,w,t[0][3][6],w,w,w,w,w,w
